"tick","active_firms","total_revenue","mean_revenue","median_revenue","sd_revenue","cv_revenue","zero_revenue_share","sold_out_share","total_unsold_output","total_profit","loss_firm_share","revenue_gini"
1536,355,113406.810608396,319.455804530693,228.758995450884,303.809161267945,0.951020945492807,0.028169014084507,0.571830985915493,2965,-192480935323.872,0.867605633802817,0.471589047813137
1537,355,113235.458274605,318.973121900296,241.662231629601,293.106228877631,0.918905728267753,0.0309859154929577,0.580281690140845,3005,-198255257416.9,0.859154929577465,0.461209136437857
1538,355,112544.083564398,317.025587505346,223.002457352981,302.135044067254,0.953030468123205,0.0225352112676056,0.554929577464789,2972,-204202821775.981,0.870422535211268,0.469743443677596
1539,356,111707.761487678,313.7858468755,225.636651701053,288.393961008289,0.919078931952958,0.0252808988764045,0.575842696629214,3049,-210328826794.537,0.853932584269663,0.460439471474767
1540,357,112061.616965043,313.898086736815,226.645517325506,293.878095441754,0.936221365656663,0.0168067226890756,0.582633053221289,3014,-216638623309.35,0.859943977591036,0.466756255026627
1541,360,111748.427339946,310.412298166516,221.361563106692,297.24611341992,0.957584848202333,0.0416666666666667,0.561111111111111,3118,-223137724453.823,0.863888888888889,0.474114590256003
1542,355,111016.904408459,312.723674390027,225.553756249835,291.932844352076,0.933516929671205,0.0169014084507042,0.574647887323944,2989,-229831804528.222,0.856338028169014,0.466030908306661
1543,360,111937.682386683,310.938006629674,217.547617621646,295.085712752802,0.949017831404083,0.0416666666666667,0.55,2962,-236726715292.465,0.858333333333333,0.474108132789812
1544,357,112374.212689844,314.773705013568,226.203241241466,290.251309981591,0.922095160296443,0.0224089635854342,0.579831932773109,2975,-243828480408.808,0.862745098039216,0.457634503011124
1545,357,113244.715683305,317.212088748753,235.17149855248,294.253967841036,0.927625327905139,0.0196078431372549,0.57983193277311,2964,-251143303457.629,0.868347338935574,0.464379591078434
1546,358,113838.438749764,317.984465781462,234.823548355224,298.823694896929,0.939743059971673,0.0279329608938547,0.600558659217877,2915,-258677574759.182,0.863128491620112,0.46565805271639
1547,357,114176.035541909,319.820827848484,236.687330010766,298.335847321952,0.932821821921144,0.0336134453781513,0.582633053221289,2915,-266437878206.582,0.865546218487395,0.464826094969481
1548,356,114226.584703096,320.861192986224,235.300432563835,296.407725858172,0.923788019048157,0.0196629213483146,0.578651685393259,2907,-274430993822.267,0.865168539325843,0.461119513969395
