productivity,io_density,entry_rate,found_prob,seed,firms_500,emp_rate_500,com_vac_500,com_rent_500,pop_500,firms_1000,emp_rate_1000,com_vac_1000,com_rent_1000,pop_1000,feasible
4.0,0.6,2.0,0.02,12,292,0.3294400549639299,0.5871131835523526,2.2552621158283945,2911,217,0.26119402985074625,0.6666666666666666,1.727139297625573,2412,true
5.5,0.6,2.0,0.02,12,203,0.30006906077348067,0.682468694096601,2.061174332356852,2896,235,0.2804005722460658,0.6217579250720461,2.232835732506586,2796,true
7.0,0.6,2.0,0.02,12,191,0.30205479452054795,0.6865321445330831,2.401975321563597,2920,210,0.28060200668896323,0.6475095785440613,2.157345322295974,2990,true
9.0,0.6,2.0,0.02,12,189,0.3282653766413269,0.6864654333008764,2.631226012151293,2894,232,0.29204339963833637,0.6365749709414955,2.3614623630162104,3318,true
4.0,0.8,2.0,0.02,12,279,0.3236914600550964,0.5945002182453077,2.432575917941273,2904,234,0.24989570296203586,0.6593871081366678,1.7413311880265363,2397,true
5.5,0.8,2.0,0.02,12,229,0.32558945908460474,0.6369926199261993,2.3275098782313433,2884,261,0.2980201458839875,0.6077228437387224,2.1818684278364144,2879,true
7.0,0.8,2.0,0.02,12,196,0.30988332189430334,0.6811248808388942,2.478725952484701,2914,259,0.28992944194996795,0.6316772506537168,2.049462281819258,3118,true
9.0,0.8,2.0,0.02,12,193,0.2840711049146044,0.7202410848819688,2.7484212518671707,2869,229,0.3333333333333333,0.6225165562913907,2.3381187282158478,3177,true
4.0,0.2,4.0,0.02,12,212,0.3771998949303914,0.45444277108433734,3.1554172668050233,3807,147,0.3599374021909233,0.5290376106194691,2.1544562793717903,2556,true
5.5,0.2,4.0,0.02,12,195,0.36869375511317154,0.4921402660217654,3.299186290904237,3667,138,0.378698224852071,0.506054632497888,2.089164101289523,2704,true
7.0,0.2,4.0,0.02,12,171,0.3251552795031056,0.5674536256323778,2.652959470404073,3220,122,0.3501208702659146,0.5507622445669802,1.9243004956975267,2482,true
9.0,0.2,4.0,0.02,12,179,0.3335209681958908,0.5483449477351916,3.2160317191070105,3553,141,0.3841396871589669,0.462406015037594,2.223240125693744,2749,true
4.0,0.4,4.0,0.02,12,212,0.3771998949303914,0.45444277108433734,3.1554172668050233,3807,147,0.3599374021909233,0.5290376106194691,2.1544562793717903,2556,true
5.5,0.4,4.0,0.02,12,195,0.36869375511317154,0.4921402660217654,3.299186290904237,3667,138,0.378698224852071,0.506054632497888,2.089164101289523,2704,true
7.0,0.4,4.0,0.02,12,171,0.3251552795031056,0.5674536256323778,2.652959470404073,3220,122,0.3501208702659146,0.5507622445669802,1.9243004956975267,2482,true
9.0,0.4,4.0,0.02,12,179,0.3335209681958908,0.5483449477351916,3.2160317191070105,3553,141,0.3841396871589669,0.462406015037594,2.223240125693744,2749,true
4.0,0.6,4.0,0.02,12,362,0.30295826730058106,0.5142405063291139,2.693067982744795,3786,402,0.274731041721333,0.4971984665290475,2.28438855277332,3811,true
5.5,0.6,4.0,0.02,12,341,0.34361346697507067,0.5169421487603306,2.704389253698647,3891,414,0.28521889900303427,0.47620464009518143,2.676304291191507,4614,true
7.0,0.6,4.0,0.02,12,264,0.31606359649122806,0.5881555153707052,2.76248281421953,3648,366,0.28846600139243445,0.5055611729019212,3.0267043655720896,4309,true
9.0,0.6,4.0,0.02,12,255,0.3527712109272393,0.5863342566943675,3.2178481739906664,3807,409,0.30158730158730157,0.48059701492537316,2.785541683285416,5103,true
4.0,0.8,4.0,0.02,12,375,0.3023255813953488,0.5122934300685208,2.8609884352925308,3784,403,0.2627906976744186,0.5408916445231768,2.0146930514446435,3870,true
5.5,0.8,4.0,0.02,12,308,0.32859773743751647,0.5478003384094755,2.759169175473179,3801,446,0.26544050862851953,0.4883574575204531,2.348791031954944,4404,true
7.0,0.8,4.0,0.02,12,295,0.3311239988953328,0.5981776765375855,2.818346846827383,3621,393,0.27616616384311904,0.5345417236662107,2.264948156040293,4309,true
9.0,0.8,4.0,0.02,12,236,0.3407032498668087,0.598314606741573,3.294261231995134,3754,444,0.3065891472868217,0.4918032786885246,2.836094666734473,5160,true
4.0,0.2,1.0,0.005,42,76,0.3897978825794033,0.7029467680608364,2.1440388001835173,2078,33,0.36312323612417685,0.7554043234587671,1.387293970962503,1063,false
5.5,0.2,1.0,0.005,42,80,0.35677352637021714,0.6997578692493946,2.2569140674072266,1934,42,0.4352720450281426,0.7257212515237709,1.4519671870071025,1066,false
7.0,0.2,1.0,0.005,42,67,0.3822857142857143,0.7280832095096582,2.1730852917227987,1750,36,0.407514450867052,0.7267441860465116,1.3465067039361376,1038,false
9.0,0.2,1.0,0.005,42,67,0.3702551337896702,0.7488537952114112,2.1093128766624814,1607,36,0.4165844027640671,0.7547413793103448,1.3464459935826654,1013,false
4.0,0.4,1.0,0.005,42,76,0.3897978825794033,0.7029467680608364,2.1440388001835173,2078,33,0.36312323612417685,0.7554043234587671,1.387293970962503,1063,false
5.5,0.4,1.0,0.005,42,80,0.35677352637021714,0.6997578692493946,2.2569140674072266,1934,42,0.4352720450281426,0.7257212515237709,1.4519671870071025,1066,false
7.0,0.4,1.0,0.005,42,67,0.3822857142857143,0.7280832095096582,2.1730852917227987,1750,36,0.407514450867052,0.7267441860465116,1.3465067039361376,1038,false
9.0,0.4,1.0,0.005,42,67,0.3702551337896702,0.7488537952114112,2.1093128766624814,1607,36,0.4165844027640671,0.7547413793103448,1.3464459935826654,1013,false
4.0,0.6,1.0,0.005,42,89,0.3045429052159282,0.7818889970788705,1.7132800620655713,1783,52,0.29653882132834425,0.831839521980367,1.4166350672302912,1069,true
5.5,0.6,1.0,0.005,42,59,0.2826834862385321,0.8079504388229221,1.9971478993842104,1744,35,0.24055829228243022,0.8489110707803993,1.2816344370787678,1218,false
7.0,0.6,1.0,0.005,42,64,0.2838054516301443,0.8177496038034865,2.245928102742452,1871,37,0.29047250193648333,0.8283720930232558,1.649675686537309,1291,false
9.0,0.6,1.0,0.005,42,55,0.25,0.8443726440495423,1.8528209883130473,1808,54,0.3547925608011445,0.8129062209842154,1.682513095057238,1398,true
4.0,0.8,1.0,0.005,42,96,0.2726326742976067,0.7637637637637638,2.2633144352046894,1922,40,0.1885880077369439,0.8590869183494293,1.2973345940254495,1034,false
5.5,0.8,1.0,0.005,42,61,0.25964149918522544,0.810204081632653,1.8743960070292172,1841,47,0.2706299911268855,0.8379357175192395,1.4945545596682621,1127,false
7.0,0.8,1.0,0.005,42,60,0.2831499710480602,0.8246170100369783,2.3409468244087765,1727,52,0.2613065326633166,0.8321902149062643,1.6906366437700624,1393,true
9.0,0.8,1.0,0.005,42,64,0.3146341463414634,0.8287560581583199,1.9918033163635451,1640,45,0.3044712562100781,0.8360888049126122,1.90474960735386,1409,false
4.0,0.2,2.0,0.005,42,91,0.3657331136738056,0.656736938588451,2.319651320970248,2428,38,0.3532258064516129,0.7166160849772383,1.4217254651703057,1240,false
5.5,0.2,2.0,0.005,42,98,0.39643652561247217,0.6608736496007516,2.5058898066472057,2245,42,0.3815592203898051,0.695117262591311,1.4634767132601905,1334,false
7.0,0.2,2.0,0.005,42,83,0.3784286378428638,0.6862934362934363,2.3531272964137235,2151,45,0.3981623277182236,0.6858617950754567,1.5309540369220787,1306,false
