productivity,initial_hire,solo_found_prob,goods_tc,bid_share,grid_min_res_occ,sold_out_premium,pop_growth,mean_emp,grid_expanded,firm_growth,score
5.6625,5,0.005146,0.04171,0.1664,0.7039,0.9834,1.39,0.657,false,true,3.357
6.9064,3,0.0143,0.12803,0.1084,0.8203,0.7567,0.683,0.664,false,true,2.841
6.6477,8,0.009734,0.0554,0.1433,0.7896,0.4106,1.322,0.675,false,true,3.341
4.5238,6,0.008256,0.03284,0.081,0.6742,0.6476,0.931,0.624,false,true,2.947
4.6803,3,0.016611,0.0302,0.1435,0.714,0.8564,0.626,0.648,false,false,1.766
6.2662,5,0.004353,0.14589,0.056,0.6627,0.9078,1.984,0.721,false,true,3.93
7.1544,8,0.003423,0.17687,0.1287,0.8244,0.987,2.066,0.688,false,true,3.927
3.9713,6,0.004842,0.03788,0.1824,0.7913,0.4645,1.177,0.555,false,false,1.993
7.7244,5,0.010504,0.07781,0.0842,0.6761,0.4862,1.098,0.62,false,true,3.063
4.1684,5,0.017343,0.10537,0.0671,0.7896,0.7062,4.906,0.7,false,true,5.399
7.5449,4,0.02841,0.03178,0.1322,0.5154,0.2102,1.291,0.694,false,true,3.356
5.8674,5,0.003453,0.11741,0.1049,0.7512,0.978,1.489,0.664,false,true,3.444
5.9273,8,0.022016,0.12334,0.1469,0.5739,0.7566,1.394,0.642,false,false,2.328
3.128,3,0.023605,0.08263,0.1101,0.8312,0.2038,1.404,0.581,false,false,2.215
6.2835,5,0.003321,0.06237,0.0669,0.7621,0.7028,2.5,0.695,false,true,4.265
7.5951,5,0.00816,0.05227,0.1295,0.5191,0.6148,0.62,0.582,false,true,2.629
3.485,8,0.013443,0.04393,0.1963,0.5775,0.467,1.126,0.588,false,false,2.02
6.9647,3,0.013383,0.08957,0.1896,0.8392,0.9886,0.618,0.71,false,true,2.884
3.0302,3,0.014575,0.18361,0.1163,0.8008,0.381,0.871,0.687,false,false,2.028
3.0365,3,0.008239,0.05717,0.1171,0.5339,0.4443,0.898,0.589,false,false,1.852
4.8534,3,0.018342,0.04053,0.1456,0.629,0.4316,0.835,0.73,false,false,2.087
3.1419,6,0.008832,0.14766,0.1556,0.5385,0.3167,1.6,0.521,false,false,2.242
7.2975,5,0.004662,0.18646,0.1082,0.5001,0.5815,1.083,0.653,false,false,2.119
6.5307,5,0.012655,0.04641,0.1155,0.6484,0.4946,1.065,0.583,false,true,2.965
5.2026,7,0.003892,0.0381,0.1859,0.8402,0.5451,1.031,0.61,false,true,2.993
6.6282,7,0.019274,0.07931,0.1976,0.6474,0.7608,1.095,0.631,false,true,3.083
7.8936,6,0.008012,0.09022,0.1041,0.8309,0.7403,0.617,0.698,false,true,2.858
5.3344,5,0.009574,0.1021,0.0548,0.8828,0.539,0.886,0.723,false,true,3.11
7.8105,7,0.009558,0.0221,0.1385,0.6189,0.6206,0.667,0.624,false,false,1.749
7.3451,7,0.006907,0.18133,0.1259,0.7859,0.6712,1.495,0.67,false,false,2.461
6.1011,6,0.007483,0.07919,0.1758,0.8972,0.824,1.139,0.618,false,false,2.09
6.3264,3,0.01305,0.02705,0.0778,0.7681,0.2789,1.1,0.685,false,false,2.196
6.0925,5,0.011026,0.03016,0.0632,0.8518,0.9307,2.998,0.582,false,true,4.412
5.8472,7,0.013925,0.14244,0.1375,0.8315,0.6304,2.663,0.546,false,true,4.089
7.7479,4,0.007275,0.14554,0.0696,0.7679,0.8121,2.137,0.733,false,true,4.068
7.8069,6,0.005581,0.09267,0.0833,0.5174,0.2917,1.43,0.693,false,true,3.459
4.3294,3,0.024868,0.04283,0.1894,0.7717,0.7808,1.318,0.677,false,false,2.342
4.7943,3,0.028445,0.05774,0.1995,0.5278,0.4894,0.987,0.604,false,false,1.948
3.1128,7,0.013436,0.06748,0.1324,0.8356,0.3878,1.217,0.529,false,false,1.97
3.5157,3,0.003532,0.05537,0.0808,0.718,0.4963,0.794,0.671,false,false,1.937
6.1218,5,0.006176,0.13908,0.0588,0.7974,0.3358,0.934,0.637,false,true,2.974
4.3866,3,0.004283,0.11993,0.0894,0.7769,0.3734,1.486,0.799,false,true,3.713
5.9544,8,0.012084,0.10053,0.1657,0.7678,0.7165,1.716,0.652,false,true,3.591
6.4824,3,0.028368,0.02869,0.088,0.6767,0.9774,3.462,0.474,false,true,4.544
4.8505,7,0.007862,0.14476,0.1612,0.6699,0.8406,1.413,0.616,false,true,3.292
7.2917,6,0.012921,0.1805,0.1676,0.8057,0.2241,1.15,0.676,false,false,2.215
6.8249,6,0.027949,0.17534,0.1796,0.7695,0.2456,1.031,0.589,false,true,2.952
4.3842,7,0.0088,0.0315,0.0963,0.852,0.9972,0.725,0.642,false,false,1.828
5.1741,4,0.00451,0.15309,0.1392,0.6843,0.503,0.854,0.662,false,true,2.963
5.7685,7,0.021419,0.16213,0.116,0.844,0.3587,1.908,0.687,false,true,3.805
4.7942,8,0.010582,0.05863,0.1903,0.608,0.9231,0.893,0.636,false,false,1.941
4.8734,4,0.028982,0.06175,0.1038,0.5238,0.7296,2.605,0.663,false,true,4.28
5.4511,4,0.021178,0.04521,0.1211,0.8247,0.8875,1.163,0.688,false,true,3.248
6.8353,7,0.021586,0.02294,0.1909,0.8863,0.5894,0.888,0.581,false,true,2.828
5.2415,4,0.017444,0.11094,0.0562,0.7066,0.5651,1.267,0.705,false,true,3.36
3.6761,5,0.009403,0.02489,0.1352,0.6469,0.8161,1.523,0.594,false,false,2.331
4.5005,5,0.003859,0.04521,0.1895,0.6481,0.5775,1.082,0.667,false,false,2.146
4.1984,4,0.022812,0.05365,0.1653,0.8821,0.9758,1.099,0.656,false,true,3.136
