solo_found_prob,sold_out_expansion_premium,outside_wage,seed,pop_250,emp_250,firms_250,wage_250,crent_250,rrent_250,pop_500,emp_500,firms_500,wage_500,crent_500,rrent_500,emp_rate_500,feasible
0.05,0.25,10.0,42,450,146,65,9.938720406049198,12.212205391802174,1.406478165154652,21869,8575,949,10.116921078436594,19.366288414849745,3.2887242805588945,0.3921075494992912,true
0.01,0.5,10.0,42,109,36,12,9.898484936586804,46.226925646947336,1.0618475324084808,169,63,15,10.039246927932124,19.912777688199455,1.0448977062274512,0.3727810650887574,true
0.02,0.5,10.0,42,180,57,22,9.953546770068813,18.978643499091017,1.1119315750514993,2415,809,188,10.031534673707327,9.843871479794045,2.8363895901941354,0.3349896480331263,true
0.05,0.5,10.0,42,531,189,68,10.093092283295658,9.851122157508879,1.5762487345152953,71472,15116,1423,10.103050000493704,36.02745233340492,3.3133213532445365,0.21149541079023954,false
0.01,1.0,10.0,42,202,70,15,10.099988861654442,25.209137914265327,1.1618908726197832,538,131,37,10.01575972563746,16.091264292813072,1.285900176086185,0.24349442379182157,false
0.02,1.0,10.0,42,317,102,37,10.025293076767056,11.267489766669037,1.2167206019369812,5910,2126,410,10.004746573603251,9.634684017466075,3.042834363518218,0.35972927241962777,true
0.05,1.0,10.0,42,710,241,77,9.984209056248655,8.956161219168283,1.758292892380646,117691,18515,1502,10.050268885867633,43.58882728924129,3.291063709643393,0.1573187414500684,false
0.01,0.25,6.0,77,90,18,6,6.0,9.960441604653505,1.0201474902139478,98,27,9,6.829491605976254,5.2868093608046145,1.0089032153976976,0.2755102040816326,true
0.02,0.25,6.0,77,126,24,8,6.6511183049325275,11.102661985852075,1.0254909845636693,88,23,8,6.761614322770079,6.121465142794326,1.0075721022084378,0.26136363636363635,true
0.05,0.25,6.0,77,127,28,10,7.027671884099471,8.872395904977562,1.0335003559300038,121,28,11,7.281629990294206,10.299388848836301,1.017220941202569,0.23140495867768596,false
0.01,0.5,6.0,77,88,22,7,6.287628839542703,9.88956329410057,1.0218733021126039,89,23,8,6.406012323100937,5.775864782533261,1.0078257204762704,0.25842696629213485,true
0.02,0.5,6.0,77,116,24,8,6.70284050313182,4.196144258147145,1.0203030181277493,97,24,8,6.815651507613569,6.578750532431212,1.0146195911754388,0.24742268041237114,false
0.05,0.5,6.0,77,116,21,7,6.339539496310449,8.94420211885371,1.0293011450562701,121,36,11,7.128117972495535,8.204432784509654,1.019191078137391,0.2975206611570248,true
0.01,1.0,6.0,77,99,28,8,6.628290886833975,8.382512857849102,1.0212032048987305,92,24,8,6.509496288638825,7.486478132318405,1.010766333250314,0.2608695652173913,true
0.02,1.0,6.0,77,168,39,11,7.151348012124902,12.501466834101835,1.0409757467737306,122,28,8,6.505525468427844,24.233880548155653,1.0103673934323711,0.22950819672131148,false
0.05,1.0,6.0,77,147,45,10,6.792614798760544,11.240839228607266,1.0381258233571102,156,26,9,6.9625723622846305,8.459934685162914,1.0174148093983924,0.16666666666666666,false
0.01,0.25,8.0,77,100,22,9,8.411030860180256,11.273052558542577,1.0362311311499295,97,21,7,8.283628871779134,3.711259631769332,1.0143894992830422,0.21649484536082475,false
0.02,0.25,8.0,77,170,41,14,8.656212405014523,23.11603145493598,1.0923185806228222,451,118,44,9.174960416330512,10.268710450351639,1.1955911453593262,0.2616407982261641,true
0.05,0.25,8.0,77,259,65,27,8.931417844384276,12.151352036273213,1.1378040922689563,1923,579,187,9.195404561121423,8.034431139740427,2.208706118069335,0.30109204368174725,true
0.01,0.5,8.0,77,93,23,6,8.0,15.985520994926912,1.0280212805225784,123,25,8,8.374883602259729,12.601580420704833,1.026804403702312,0.2032520325203252,false
0.02,0.5,8.0,77,168,46,20,9.128844619222773,12.198582653629765,1.0733689250361584,339,64,27,9.117777083321911,11.97192467113301,1.113973540193214,0.1887905604719764,false
0.05,0.5,8.0,77,272,87,34,9.161479901113859,10.185230958322347,1.170204355603004,6836,2534,399,9.078709488026645,11.900387969341862,2.6995757060424097,0.37068461088355764,true
0.01,1.0,8.0,77,144,31,10,8.427000101132714,11.160493315593422,1.0555107348590385,114,27,9,8.37327990248799,9.547768237448325,1.0254949001699576,0.23684210526315788,false
0.02,1.0,8.0,77,257,70,24,8.94011299680252,13.86678154124329,1.1487062567685489,2140,662,134,8.918843339789827,11.13137519328883,2.198243255258308,0.30934579439252335,true
0.05,1.0,8.0,77,298,91,32,9.176550083022088,11.473536811577558,1.153432694105424,10630,4601,447,8.829700627248043,15.88825834270454,2.7813914404990054,0.43283160865475073,true
0.01,0.25,10.0,77,117,46,15,10.066488589579558,19.553003949977867,1.0697250216255507,163,52,20,10.089320285915118,13.854819251600478,1.0518944726459707,0.31901840490797545,true
