"tick","population","employed","unemployed","housed","unhoused","residential_units","vacant_residential_units","commercial_units","vacant_commercial_units","active_firms","firm_job_vacancies","firms_with_job_vacancies","committed_output","realized_sales","unsold_output","sold_out_firms","mean_wage","mean_residential_rent","mean_commercial_rent","mean_goods_price","housing_excess_supply","housing_excess_demand","labor_excess_supply","labor_excess_demand","commercial_space_excess_supply","goods_excess_supply","housing_vacancy_rate","commercial_vacancy_rate","goods_unsold_rate","employment_rate","housing_rate"
330,3623,3447,176,3436,187,5083,1647,2246,1121,225,603,112,6378,5847,531,155,36.2943744381597,1.10180923111604,587.66613614372,12.9854296575849,1647,187,176,603,1121,531,0.324021247294905,0.499109528049866,0.0832549388523048,0.951421473916644,0.948385316036434
331,3624,3454,170,3440,184,5088,1648,2251,1128,223,560,111,6402,5841,561,154,36.3537803158383,1.10096862562571,593.398871370636,13.0993179756601,1648,184,170,560,1128,561,0.323899371069182,0.501110617503332,0.0876288659793814,0.953090507726269,0.949227373068433
332,3625,3453,172,3434,191,5095,1661,2257,1130,224,579,115,6413,5893,520,153,36.4614300085129,1.09997129848348,601.071729727011,13.059729136126,1661,191,172,579,1130,520,0.326005888125613,0.500664599025255,0.0810852954935288,0.952551724137931,0.947310344827586
333,3627,3460,167,3436,191,5099,1663,2260,1131,223,554,111,6414,5942,472,155,36.5715556404724,1.09957674693921,610.49093008276,13.1245983602638,1663,191,167,554,1131,472,0.326142380858992,0.500442477876106,0.0735890240099782,0.953956437827406,0.947339398952302
334,3628,3467,161,3444,184,5102,1658,2265,1133,223,547,111,6417,5915,502,157,36.6690416391166,1.09866497624466,621.327646486736,13.169088987971,1658,184,161,547,1133,502,0.324970599764798,0.500220750551876,0.0782297023531245,0.955622932745314,0.94928335170893
335,3630,3485,145,3451,179,5105,1654,2269,1135,227,601,116,6438,5911,527,159,36.7612954514955,1.09735746814449,633.237799187505,13.0458358164173,1654,179,145,601,1135,527,0.323996082272282,0.500220361392684,0.0818577197887543,0.960055096418733,0.95068870523416
336,3631,3458,173,3449,182,5110,1661,2271,1135,225,592,118,6486,5966,520,162,36.8876086199648,1.0966000992893,646.47594320504,13.1585299542551,1661,182,173,592,1135,520,0.325048923679061,0.499779832672831,0.080172679617638,0.952354723216745,0.949876067199119
337,3633,3473,160,3458,175,5117,1659,2273,1136,225,577,116,6420,5899,521,142,36.963615861385,1.095737388933,660.970297899829,13.1795468594786,1659,175,160,577,1136,521,0.32421340629275,0.499780026396832,0.0811526479750779,0.955959262317644,0.951830443159923
338,3634,3478,156,3462,172,5121,1659,2276,1140,224,554,107,6456,5969,487,155,37.0224097009772,1.09493365406272,676.631595485458,13.2396719043755,1659,172,156,554,1140,487,0.323960164030463,0.500878734622144,0.0754337050805452,0.957072096862961,0.952669235002752
339,3634,3486,148,3469,165,5130,1661,2280,1140,225,564,105,6455,5949,506,158,37.0445701384138,1.09459815748561,693.384877243118,13.2396234151674,1661,165,148,564,1140,506,0.323781676413255,0.5,0.0783888458559256,0.959273527793066,0.954595487066593
340,3636,3488,148,3467,169,5132,1665,2281,1139,225,562,107,6495,6026,469,161,37.1604839229121,1.0947977641872,711.159330512164,13.2867501694991,1665,169,148,562,1139,469,0.324434918160561,0.499342393686979,0.0722093918398768,0.959295929592959,0.953520352035203
341,3636,3500,136,3478,158,5138,1660,2285,1146,226,568,104,6485,5998,487,166,37.2952503767015,1.09515107053214,729.91589253542,13.2832975629458,1660,158,136,568,1146,487,0.32308291163877,0.501531728665208,0.0750963762528913,0.962596259625963,0.956545654565457
342,3639,3486,153,3488,151,5146,1658,2288,1147,224,546,111,6506,5992,514,162,37.3800252602492,1.09603486990777,749.422123002304,13.3999583267437,1658,151,153,546,1147,514,0.322191993781578,0.501311188811189,0.0790039963110974,0.95795548227535,0.958505083814235
343,3641,3476,165,3485,156,5151,1666,2291,1150,226,592,109,6511,5955,556,149,37.4952864893068,1.09643214424942,769.811773703332,13.3535953012609,1666,156,165,592,1150,556,0.323432343234323,0.501964207769533,0.0853939487021963,0.954682779456193,0.957154627849492
344,3642,3488,154,3477,165,5154,1677,2298,1153,225,562,102,6505,5956,549,157,37.5593596295101,1.09607477633103,791.042851485694,13.4324655926842,1677,165,154,562,1153,549,0.325378346915017,0.501740644038294,0.0843966179861645,0.957715540911587,0.954695222405272
345,3646,3487,159,3475,171,5163,1688,2298,1153,224,545,98,6511,5981,530,153,37.671027318216,1.09548537612619,813.163436866164,13.5020562187786,1688,171,159,545,1153,530,0.326941700561689,0.501740644038294,0.0814007064966979,0.956390565002743,0.953099286889742
346,3650,3491,159,3479,171,5169,1690,2300,1162,224,541,99,6482,6005,477,161,37.7383587132382,1.09458182353996,836.184489802996,13.5259256823204,1690,171,159,541,1162,477,0.32694911975237,0.505217391304348,0.0735883986423943,0.956438356164384,0.953150684931507
347,3654,3500,154,3488,166,5175,1687,2302,1163,225,550,106,6484,5950,534,158,37.8247086730586,1.09371078968351,859.98522047523,13.5181921217087,1687,166,154,550,1163,534,0.325990338164251,0.505212858384014,0.0823565700185071,0.957854406130268,0.954570333880679
348,3654,3497,157,3489,165,5183,1694,2307,1168,223,517,99,6508,5968,540,163,37.8885331922765,1.09299798300758,884.689166742202,13.6445726173505,1694,165,157,517,1168,540,0.326837738761335,0.506285218899003,0.0829748002458513,0.957033388067871,0.954844006568144
349,3657,3500,157,3493,164,5188,1695,2312,1178,219,442,93,6511,5902,609,150,37.9594598329399,1.09207288746661,910.22972878158,13.8384516765528,1695,164,157,442,1178,609,0.326715497301465,0.509515570934256,0.0935340193518661,0.957068635493574,0.955154498222587
350,3659,3510,149,3501,158,5195,1694,2313,1172,222,486,94,6527,5933,594,151,38.0135298800658,1.09112921528219,935.19846659911,13.7680226118578,1694,158,149,486,1172,594,0.326082771896054,0.506701253782966,0.091006588018998,0.95927849139109,0.956818802951626
351,3662,3520,142,3504,158,5199,1695,2316,1174,221,458,88,6548,5969,579,156,38.0652364765677,1.09054384147573,961.26393047058,13.8492198946236,1695,158,142,458,1174,579,0.32602423542989,0.506908462867012,0.0884239462431277,0.961223375204806,0.956854178044784
352,3662,3488,174,3502,160,5202,1700,2322,1173,224,544,97,6552,5988,564,157,38.1684324959606,1.08956416381015,972.084926864004,13.7591565803264,1700,160,174,544,1173,564,0.326797385620915,0.505167958656331,0.0860805860805861,0.952484980884762,0.956308028399782
353,3666,3491,175,3495,171,5206,1711,2329,1177,223,523,94,6427,5904,523,155,38.2683311241995,1.08897755706899,985.881066083989,13.8473805358259,1711,171,175,523,1177,523,0.328659239339224,0.505367110347789,0.0813754473315699,0.952264048008729,0.953355155482815
354,3666,3489,177,3495,171,5209,1714,2334,1178,222,507,99,6498,5928,570,149,38.3601074951004,1.0874991973433,1000.49418745638,13.9188758583506,1714,171,177,507,1178,570,0.329045882127088,0.50471293916024,0.087719298245614,0.951718494271686,0.953355155482815
355,3668,3498,170,3497,171,5216,1719,2338,1189,218,426,103,6450,5908,542,141,38.4370193024171,1.0866571203581,1017.7823267944,14.1339187810865,1719,171,170,426,1189,542,0.329562883435583,0.508554319931565,0.084031007751938,0.953653217011996,0.953380588876772
356,3669,3507,162,3505,164,5219,1714,2343,1198,218,417,98,6478,5885,593,147,38.5015153900077,1.08573416449444,1037.48792837448,14.1720062047423,1714,164,162,417,1198,593,0.328415405250048,0.511310285958173,0.0915405989502933,0.955846279640229,0.955301171981466
357,3670,3497,173,3507,163,5228,1721,2344,1199,219,445,106,6490,5883,607,147,38.5903081643779,1.08563866309362,1059.29798251088,14.1465212701009,1721,163,173,445,1199,607,0.329188982402448,0.511518771331058,0.0935285053929122,0.952861035422343,0.95558583106267
358,3672,3510,162,3509,163,5233,1724,2343,1200,217,396,98,6483,5882,601,140,38.671828686129,1.08557034529472,1082.8074447181,14.275752228857,1724,163,162,396,1200,601,0.329447735524556,0.512163892445583,0.0927039950640136,0.955882352941177,0.955610021786492
359,3676,3504,172,3511,165,5239,1728,2349,1207,216,384,95,6516,5924,592,143,38.7478383747331,1.08548351211328,1108.25834812079,14.3381136867228,1728,165,172,384,1207,592,0.329833937774384,0.513835674755215,0.09085328422345,0.953210010881393,0.955114254624592
360,3677,3515,162,3511,166,5243,1732,2352,1212,216,373,90,6511,5882,629,146,38.8141268498289,1.08658951990939,1135.47671852711,14.3583875353959,1732,166,162,373,1212,629,0.33034522220103,0.51530612244898,0.0966057441253264,0.95594234430242,0.954854500951863
361,3677,3515,162,3507,170,5249,1742,2356,1212,217,391,96,6529,5935,594,150,38.8973310145026,1.08775150662571,1164.30878294213,14.3456438508453,1742,170,162,391,1212,594,0.331872737664317,0.514431239388795,0.0909787103691224,0.95594234430242,0.953766657601305
362,3678,3506,172,3512,166,5252,1740,2358,1217,213,328,96,6535,5913,622,149,38.9845336818797,1.08727504611102,1194.77456253512,14.564614335637,1740,166,172,328,1217,622,0.331302361005331,0.516115351993215,0.0951798010711553,0.953235454051115,0.954866775421425
363,3679,3511,168,3516,163,5255,1739,2363,1216,218,413,97,6523,5913,610,140,39.0662628353206,1.08788646637082,1226.79960985003,14.3845973575235,1739,163,168,413,1216,610,0.330922930542341,0.514600084638172,0.0935152537176146,0.954335417232944,0.955694482196249
364,3682,3482,200,3518,164,5265,1747,2366,1218,221,496,106,6532,5935,597,146,39.165930489682,1.08877777604683,1260.24211477122,14.2784432043543,1747,164,200,496,1218,597,0.331813865147198,0.514792899408284,0.0913962033067973,0.945681694731124,0.955458989679522
