tick,firm_type,n_firms,uniq_prices,uniq_prices_r2,min_price_gap,tie_share_r2,mean_sellthrough
49.0,4.0,1,1,1,0.0,0.0,0.6875
49.0,5.0,1,1,1,0.0,0.0,0.8125
49.0,6.0,1,1,1,0.0,0.0,0.7027027027027027
50.0,1.0,1,1,1,0.0,0.0,0.21875
50.0,2.0,1,1,1,0.0,0.0,0.875
50.0,3.0,1,1,1,0.0,0.0,0.0
50.0,4.0,1,1,1,0.0,0.0,0.6875
50.0,5.0,1,1,1,0.0,0.0,0.78125
50.0,6.0,1,1,1,0.0,0.0,0.7027027027027027
51.0,1.0,1,1,1,0.0,0.0,0.21875
51.0,2.0,1,1,1,0.0,0.0,0.875
51.0,3.0,1,1,1,0.0,0.0,0.0
51.0,4.0,1,1,1,0.0,0.0,0.6875
51.0,5.0,1,1,1,0.0,0.0,0.8125
51.0,6.0,1,1,1,0.0,0.0,0.7027027027027027
52.0,1.0,1,1,1,0.0,0.0,0.21875
52.0,2.0,1,1,1,0.0,0.0,0.875
52.0,3.0,1,1,1,0.0,0.0,0.0
52.0,4.0,1,1,1,0.0,0.0,0.6875
52.0,5.0,1,1,1,0.0,0.0,1.0
52.0,6.0,1,1,1,0.0,0.0,0.7297297297297297
53.0,1.0,1,1,1,0.0,0.0,0.21875
53.0,2.0,1,1,1,0.0,0.0,0.875
53.0,3.0,1,1,1,0.0,0.0,0.0
53.0,4.0,1,1,1,0.0,0.0,0.6875
53.0,5.0,1,1,1,0.0,0.0,1.0
53.0,6.0,1,1,1,0.0,0.0,0.7297297297297297
54.0,1.0,1,1,1,0.0,0.0,0.21875
54.0,2.0,1,1,1,0.0,0.0,0.65625
54.0,3.0,1,1,1,0.0,0.0,0.0
54.0,4.0,1,1,1,0.0,0.0,0.6875
54.0,5.0,1,1,1,0.0,0.0,0.75
54.0,6.0,1,1,1,0.0,0.0,0.7297297297297297
55.0,1.0,1,1,1,0.0,0.0,0.21875
55.0,2.0,1,1,1,0.0,0.0,0.65625
55.0,3.0,1,1,1,0.0,0.0,0.0
55.0,4.0,1,1,1,0.0,0.0,0.6875
55.0,5.0,1,1,1,0.0,0.0,0.8125
55.0,6.0,1,1,1,0.0,0.0,0.7297297297297297
56.0,1.0,1,1,1,0.0,0.0,0.21875
56.0,2.0,1,1,1,0.0,0.0,0.65625
56.0,3.0,1,1,1,0.0,0.0,0.0
56.0,4.0,1,1,1,0.0,0.0,0.6875
56.0,5.0,1,1,1,0.0,0.0,0.84375
56.0,6.0,1,1,1,0.0,0.0,0.7297297297297297
57.0,1.0,1,1,1,0.0,0.0,0.21875
57.0,2.0,1,1,1,0.0,0.0,0.65625
57.0,3.0,1,1,1,0.0,0.0,0.0
57.0,4.0,1,1,1,0.0,0.0,0.6875
57.0,5.0,1,1,1,0.0,0.0,0.78125
57.0,6.0,1,1,1,0.0,0.0,0.7567567567567568
58.0,1.0,1,1,1,0.0,0.0,0.21875
58.0,2.0,1,1,1,0.0,0.0,0.65625
58.0,3.0,1,1,1,0.0,0.0,0.0
58.0,4.0,1,1,1,0.0,0.0,0.6875
58.0,5.0,1,1,1,0.0,0.0,1.0
58.0,6.0,1,1,1,0.0,0.0,0.7297297297297297
59.0,1.0,1,1,1,0.0,0.0,0.21875
59.0,2.0,1,1,1,0.0,0.0,0.65625
59.0,3.0,1,1,1,0.0,0.0,0.0
59.0,4.0,1,1,1,0.0,0.0,0.6875
59.0,5.0,1,1,1,0.0,0.0,1.0
59.0,6.0,1,1,1,0.0,0.0,0.7567567567567568
60.0,1.0,1,1,1,0.0,0.0,0.21875
60.0,2.0,1,1,1,0.0,0.0,0.65625
60.0,3.0,1,1,1,0.0,0.0,0.0
60.0,4.0,1,1,1,0.0,0.0,0.6875
60.0,5.0,1,1,1,0.0,0.0,1.0
60.0,6.0,1,1,1,0.0,0.0,0.7837837837837838
61.0,1.0,1,1,1,0.0,0.0,0.1794871794871795
61.0,2.0,1,1,1,0.0,0.0,0.65625
61.0,3.0,1,1,1,0.0,0.0,0.0
61.0,4.0,1,1,1,0.0,0.0,0.6875
61.0,5.0,1,1,1,0.0,0.0,0.9375
61.0,6.0,1,1,1,0.0,0.0,0.8648648648648649
62.0,1.0,1,1,1,0.0,0.0,0.1794871794871795
62.0,2.0,1,1,1,0.0,0.0,0.65625
62.0,3.0,1,1,1,0.0,0.0,0.0
62.0,4.0,1,1,1,0.0,0.0,0.6875
62.0,5.0,1,1,1,0.0,0.0,1.0
62.0,6.0,1,1,1,0.0,0.0,0.7894736842105263
63.0,1.0,1,1,1,0.0,0.0,0.1794871794871795
63.0,2.0,1,1,1,0.0,0.0,0.65625
63.0,3.0,1,1,1,0.0,0.0,0.0
63.0,4.0,1,1,1,0.0,0.0,0.75
63.0,5.0,1,1,1,0.0,0.0,0.7435897435897436
63.0,6.0,1,1,1,0.0,0.0,1.0
64.0,1.0,1,1,1,0.0,0.0,0.1794871794871795
64.0,2.0,1,1,1,0.0,0.0,0.65625
64.0,3.0,1,1,1,0.0,0.0,0.0
64.0,4.0,1,1,1,0.0,0.0,0.75
64.0,5.0,1,1,1,0.0,0.0,0.8717948717948718
64.0,6.0,1,1,1,0.0,0.0,0.8157894736842105
65.0,1.0,1,1,1,0.0,0.0,0.1794871794871795
65.0,2.0,1,1,1,0.0,0.0,0.65625
65.0,3.0,1,1,1,0.0,0.0,0.0
65.0,4.0,1,1,1,0.0,0.0,0.75
65.0,5.0,1,1,1,0.0,0.0,0.8974358974358975
65.0,6.0,1,1,1,0.0,0.0,0.8157894736842105
66.0,1.0,1,1,1,0.0,0.0,0.1794871794871795
66.0,2.0,1,1,1,0.0,0.0,0.65625
66.0,3.0,1,1,1,0.0,0.0,0.0
66.0,4.0,1,1,1,0.0,0.0,0.8125
66.0,5.0,1,1,1,0.0,0.0,0.8717948717948718
66.0,6.0,1,1,1,0.0,0.0,0.6956521739130435
67.0,1.0,1,1,1,0.0,0.0,0.1794871794871795
67.0,2.0,1,1,1,0.0,0.0,0.65625
67.0,3.0,1,1,1,0.0,0.0,0.0
67.0,4.0,1,1,1,0.0,0.0,0.8125
