"tick","population","employed","unemployed","housed","unhoused","residential_units","vacant_residential_units","commercial_units","vacant_commercial_units","active_firms","firm_job_vacancies","firms_with_job_vacancies","committed_output","realized_sales","unsold_output","sold_out_firms","mean_wage","mean_residential_rent","mean_commercial_rent","mean_goods_price","housing_excess_supply","housing_excess_demand","labor_excess_supply","labor_excess_demand","commercial_space_excess_supply","goods_excess_supply","housing_vacancy_rate","commercial_vacancy_rate","goods_unsold_rate","employment_rate","housing_rate"
16,67,37,30,50,17,111,61,99,92,7,89,7,77,30,47,0,11.6509779458109,1.86603087266811,1.45679020180405,4.45915405267175,61,17,30,89,92,47,0.54954954954955,0.929292929292929,0.61038961038961,0.552238805970149,0.746268656716418
17,70,36,34,47,23,112,65,99,91,7,90,7,65,21,44,2,11.7756063117107,1.83689767822635,1.47036444706129,4.45915405267175,65,23,34,90,91,44,0.580357142857143,0.919191919191919,0.676923076923077,0.514285714285714,0.671428571428571
18,73,34,39,43,30,112,69,99,91,7,92,7,68,36,32,1,11.9078683571531,1.80121182908988,1.48476856453801,4.41263361520887,69,30,39,92,91,32,0.616071428571429,0.919191919191919,0.470588235294118,0.465753424657534,0.589041095890411
19,76,41,35,43,33,113,70,99,91,7,85,7,66,32,34,1,12.1318756280044,1.76776930075931,1.50035083975559,4.39136254890474,70,33,35,85,91,34,0.619469026548673,0.919191919191919,0.515151515151515,0.539473684210526,0.56578947368421
20,77,45,32,42,35,114,72,98,90,7,81,7,74,31,43,0,12.2874618621719,1.73685495623537,1.51774953656313,4.34377631791499,72,35,32,81,90,43,0.631578947368421,0.918367346938776,0.581081081081081,0.584415584415584,0.545454545454545
21,79,48,31,43,36,114,71,98,90,7,78,7,77,41,36,0,12.4220974285882,1.70837494923161,1.53567019427489,4.27961000484352,71,36,31,78,90,36,0.62280701754386,0.918367346938776,0.467532467532468,0.607594936708861,0.544303797468354
22,81,44,37,42,39,115,73,97,89,7,82,7,80,30,50,0,12.6143687389586,1.67733415195781,1.55412847171801,4.27961000484352,73,39,37,82,89,50,0.634782608695652,0.917525773195876,0.625,0.54320987654321,0.518518518518518
23,83,45,38,42,41,117,75,96,88,7,81,7,71,40,31,0,12.7199365157167,1.6460743077623,1.57314049748442,4.23905808804842,75,41,38,81,88,31,0.641025641025641,0.916666666666667,0.436619718309859,0.542168674698795,0.506024096385542
24,86,45,41,45,41,118,73,96,88,7,81,7,71,56,15,2,12.761583098781,1.61351974192505,1.59272288402383,4.21894752604279,73,41,41,81,88,15,0.61864406779661,0.916666666666667,0.211267605633803,0.523255813953488,0.523255813953488
25,88,51,37,44,44,119,75,96,88,7,75,6,70,45,25,1,13.021496905888,1.58300049849477,1.61289274215942,4.21629453858815,75,44,37,75,88,25,0.630252100840336,0.916666666666667,0.357142857142857,0.579545454545455,0.5
26,90,53,37,47,43,119,72,97,89,7,73,6,74,46,28,0,13.1788840364111,1.55053385673923,1.63366769603907,4.18278146057857,72,43,37,73,89,28,0.605042016806723,0.917525773195876,0.378378378378378,0.588888888888889,0.522222222222222
27,91,56,35,48,43,120,72,98,90,7,70,6,77,47,30,3,13.2858970336311,1.52243625099712,1.6375840713029,4.15997373385194,72,43,35,70,90,30,0.6,0.918367346938776,0.38961038961039,0.615384615384615,0.527472527472527
28,92,57,35,50,42,121,71,98,90,7,69,6,80,40,40,1,13.3117163939336,1.49563841970832,1.62584727460915,4.1818633873556,71,42,35,69,90,40,0.586776859504132,0.918367346938776,0.5,0.619565217391304,0.543478260869565
29,92,49,43,51,41,121,70,98,90,7,77,6,80,44,36,0,13.1966703245647,1.47061266824457,1.61874624758174,4.20375880501316,70,41,43,77,90,36,0.578512396694215,0.918367346938776,0.45,0.532608695652174,0.554347826086957
30,92,48,44,53,39,123,70,98,90,7,78,7,68,32,36,1,13.443089082488,1.44967172086218,1.6156718822756,4.1548820033218,70,39,44,78,90,36,0.56910569105691,0.918367346938776,0.529411764705882,0.521739130434783,0.576086956521739
31,93,52,41,52,41,123,71,98,90,7,74,6,68,44,24,1,13.6215396853423,1.42532537539547,1.61610902466254,4.05665045914515,71,41,41,74,90,24,0.577235772357724,0.918367346938776,0.352941176470588,0.559139784946237,0.559139784946237
32,93,56,37,52,41,124,72,98,90,7,70,6,71,50,21,2,13.5934475430954,1.40255077849632,1.61962245917552,4.01449623591742,72,41,37,70,90,21,0.580645161290323,0.918367346938776,0.295774647887324,0.602150537634409,0.559139784946237
33,93,47,46,48,45,125,77,98,90,7,79,6,74,53,21,2,13.2606615701333,1.37472314081012,1.62584499790015,3.99650925922064,77,45,46,79,90,21,0.616,0.918367346938776,0.283783783783784,0.505376344086022,0.516129032258065
34,93,55,38,50,43,125,75,98,90,7,71,6,69,47,22,2,13.3736746683931,1.34785009815018,1.63446735878635,3.97552881436491,75,43,38,71,90,22,0.6,0.918367346938776,0.318840579710145,0.591397849462366,0.53763440860215
35,94,57,37,51,43,126,75,98,90,7,69,7,77,45,32,0,13.569438738511,1.32523543100568,1.64522956459899,3.97552881436491,75,43,37,69,90,32,0.595238095238095,0.918367346938776,0.415584415584416,0.606382978723404,0.542553191489362
36,94,47,47,51,43,126,75,98,89,8,97,8,80,51,29,1,13.2843742939763,1.30411843777322,1.65791363457087,4.128772296726,75,43,47,97,89,29,0.595238095238095,0.908163265306122,0.3625,0.5,0.542553191489362
