tick,firm_id,firm_type,reason,cash_before_exit,revenue_this_tick,wages_this_tick,commercial_rent_this_tick,capital_rental_this_tick,process_rental_this_tick,input_cost_this_tick,profit_this_tick,worker_count,capital_units,process_count,commercial_units,last_plan_tick,last_plan_passed,last_plan_projected_end_cash,last_plan_total_cost,last_plan_buffer
1832,95,1,negative_cash,-1.0593649737328317,0.0,0.0,3.0,0.5,0.6,0.0,-4.1,0,2,1,3,1823,1,3.300087639138926,82.0,27.475082247690178
1850,89,2,negative_cash,-3.251233883770853,0.0,0.0,4.0,0.25,0.6,0.0,-4.85,0,1,1,4,1849,0,-27.824238109245048,97.0,28.34367129999838
1875,79,6,negative_cash,-32.73863605496442,103.602484187505,49.72044381669808,2.0,2.25,1.2,84.0,-35.56795962919308,5,9,2,2,1857,1,135.9987425475926,1964.4345173596028,501.37999954902176
1875,70,6,negative_cash,-32.57221363437317,100.32173916983439,49.78214716584675,1.0,4.25,1.7999999999999998,84.0,-40.51040799601236,5,17,3,1,1861,1,237.5128940147672,2150.6401060648973,574.1263375098549
1876,103,3,negative_cash,-2.502635768449813,0.0,0.0,3.0,0.25,0.6,0.0,-3.85,0,1,1,3,1860,0,-37.1526357684498,77.0,19.25
1883,78,6,negative_cash,-55.115960536945295,330.8565997975237,200.0,3.0,5.0,6.6,202.8357399700135,-86.57914017248979,20,20,11,3,1863,1,194.03769545193995,6112.0,1575.9707134548278
1887,104,3,negative_cash,-1.2831383969249819,0.0,0.0,3.0,0.25,0.6,0.0,-3.85,0,1,1,3,1881,0,-74.43313839692499,77.0,19.25
1890,105,3,negative_cash,-0.4060995587651055,0.0,0.0,3.0,0.25,0.6,0.0,-3.85,0,1,1,3,1880,0,-58.1560995587651,77.0,19.25
1904,106,3,negative_cash,-1.8202762295921335,0.0,0.0,1.0,0.25,0.6,0.0,-1.85,0,1,1,1,1891,0,-61.02027622959213,77.0,19.25
1929,109,6,negative_cash,-33.73527073989507,33.19400086473458,40.0,1.0,1.0,2.4,49.0,-60.205999135265415,4,4,4,1,1918,1,8.48542328136125,1596.9526364250733,417.34421413873235
1942,112,5,negative_cash,-1.8825649374486875,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,1922,0,-16.13256493744867,57.0,14.25
1973,114,3,negative_cash,-3.343624853796567,0.0,0.0,3.0,0.25,0.6,0.0,-3.85,0,1,1,3,1958,0,-83.13596732698203,89.0,48.54234247318547
1987,130,5,negative_cash,-0.017430138707908327,0.0,21.73223630757102,1.0,0.5,0.6,67.90973116517569,-91.74196747274671,2,2,1,1,1955,1,3003.0063153507426,0.0,0.0
2001,127,6,negative_cash,-27.215065647964707,0.0,19.776127172519796,2.0,0.5,1.2,35.0,-58.476127172519796,2,2,2,2,1983,1,413.3385670751006,508.40221625980064,127.10055406495016
2006,120,1,negative_cash,-2.8042690444867495,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,2005,0,-96.20426904448675,77.0,19.25
2007,117,1,negative_cash,-6.3704811992950745,3.390612312200233,10.0,4.0,0.5,0.6,0.0,-11.709387687799767,1,2,1,4,1988,1,120.37650063111725,114.0,35.98118123298691
2009,119,1,negative_cash,-2.2755385727032325,0.0,0.0,3.0,0.25,0.6,0.0,-3.85,0,1,1,3,1995,0,-44.62553857270322,77.0,19.25
2020,135,5,negative_cash,-4.07449007709846,0.0,21.97425299346131,1.0,0.5,0.6,65.77378987559698,-89.84804286905829,2,2,1,1,1988,1,3003.035104666704,0.0,0.0
2026,110,6,negative_cash,-7.508397132373176,173.2967831902884,89.95872894002622,1.0,2.75,3.0,98.0,-21.41194574973781,9,11,5,1,2010,1,200.66083110791214,3095.499881356566,811.6605312748611
