tick,d_population,d_employed,d_unemployed,d_housed,d_unhoused,d_residential_units,d_vacant_residential_units,d_commercial_units,d_vacant_commercial_units,d_active_firms,d_firm_job_vacancies,d_firms_with_job_vacancies,d_committed_output,d_realized_sales,d_unsold_output,d_sold_out_firms,d_mean_wage,d_mean_residential_rent,d_mean_commercial_rent,d_mean_goods_price
2704.0,0.0,0.0,0.0,4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,-6.0,-4.0,0.0,0.0014522513181174368,0.0,-0.017859029330662857
2705.0,0.0,0.0,0.0,-4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-10.0,3.0,0.0,-0.0004970953985516946,0.0,-3.0689544686879344e-5
2706.0,0.0,2.0,-2.0,6.0,-6.0,0.0,-6.0,1.0,-1.0,1.0,0.0,0.0,1.0,-3.0,4.0,0.0,0.00046876728421807456,0.0030834892452267226,-0.0002404302120959656,0.06567338325895289
2707.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,-4.0,1.0,0.0,0.004866958131348964,0.0,-0.015524656215780475
2708.0,0.0,0.0,0.0,-1.0,1.0,1.0,2.0,-1.0,-1.0,0.0,0.0,0.0,2.0,-12.0,14.0,-2.0,0.0,3.0169302406513054e-5,0.0,0.012716394762284366
2709.0,0.0,0.0,0.0,3.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032832367666699724,0.0,-0.0043444500555613885
2710.0,0.0,-2.0,2.0,-2.0,2.0,0.0,2.0,0.0,2.0,-1.0,0.0,0.0,-15.0,5.0,-20.0,4.0,-0.017667143947889485,-0.0014965495697782938,0.0002404302120959656,-0.13093498537429404
2711.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.019715487465687076,-0.00018266098239849704,-0.0001222186911487011,0.10313669700725736
2712.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,19.0,-8.0,27.0,-2.0,0.0,-0.0018388976806722468,0.0,-0.011506537826274865
2713.0,-6.0,0.0,-6.0,-8.0,2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.0,3.0,-1.0,0.0,-0.006744121063671837,0.0001222186911487011,-0.0120714776376607
2714.0,1.0,-2.0,3.0,3.0,-2.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,0.0,0.002079722926085381,-0.0009419826238137308,0.0,-0.027040004546069696
2715.0,1.0,-8.0,9.0,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,7.0,-22.0,3.0,0.00947429332994254,-0.0013243128905344737,0.0,-0.02935701638923849
2716.0,0.0,0.0,0.0,-5.0,5.0,1.0,6.0,-1.0,-1.0,0.0,0.0,0.0,-28.0,4.0,-32.0,4.0,0.0,-0.01084381784694588,0.0,-0.008780940087926403
2717.0,0.0,0.0,0.0,-4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,-1.0,0.0,-0.010361604061479568,0.0,-0.002692689113079183
2718.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,-3.0,1.0,-0.0012978484013608238,-0.003750556697594609,0.0,0.008228617540098071
2719.0,0.0,0.0,0.0,3.0,-3.0,0.0,-3.0,0.0,1.0,0.0,0.0,0.0,2.0,-11.0,13.0,-4.0,0.0,-0.005027591080048133,0.00012643312877469448,0.011116730903656169
2720.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-9.0,11.0,-2.0,0.0,-0.006293081823994351,0.0,-0.009909995831788976
2721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,-0.010130408798619817,0.0,-0.019505322839470374
2722.0,1.0,1.0,0.0,6.0,-5.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0012627714175419413,-0.0017872660960518427,0.0,-0.022768908048871772
2723.0,2.0,1.0,1.0,-3.0,5.0,0.0,3.0,0.0,2.0,-1.0,0.0,0.0,5.0,-4.0,9.0,0.0,-0.0012290975130735404,-0.008263232743746851,0.0002664126642035747,0.027780939424021156
2724.0,0.0,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,-13.0,2.0,0.005382194526744044,-0.01140747813018228,0.0,-0.004410161141801261
2725.0,-1.0,0.0,-1.0,4.0,-5.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,-4.0,0.0,0.0,-0.004977393169836475,0.0,-0.02734462809909388
2726.0,2.0,-2.0,4.0,2.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,1.0,-7.0,8.0,-2.0,-0.010778948819391232,-0.00371691800899554,-0.00013554328529652437,-0.009793742903507763
2727.0,0.0,3.0,-3.0,4.0,-4.0,0.0,-4.0,0.0,4.0,-1.0,0.0,0.0,1.0,1.0,0.0,-1.0,-0.003333368636681655,-0.00042132723538701455,0.0005728621869136585,0.12180569033389776
2728.0,0.0,2.0,-2.0,2.0,-2.0,0.0,-2.0,1.0,0.0,1.0,0.0,0.0,1.0,-10.0,11.0,-1.0,0.02717203404374402,0.0033054660603972774,-0.0001511719659910149,0.014459927039109921
2729.0,0.0,2.0,-2.0,-3.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,16.0,12.0,4.0,3.0,0.007281138579822155,0.0008024445486929377,0.0001511719659910149,0.06646474243859846
