"tick","active_firms","total_revenue","mean_revenue","median_revenue","sd_revenue","cv_revenue","zero_revenue_share","sold_out_share","total_unsold_output","total_profit","loss_firm_share","revenue_gini"
1448,149,1633.14848229449,10.9607280690905,5.67657460065931,13.2835759709413,1.21192459909677,0,0.36241610738255,485,-38013744.3059714,0.973154362416107,0.471597119762114
1449,150,1619.01204218962,10.7934136145974,5.62493580721621,13.2952432894175,1.23179225443899,0.00666666666666667,0.433333333333333,495,-32408451.5146088,0.973333333333333,0.475938933035207
1450,150,1628.98828767229,10.8599219178153,5.63871761032343,13.2355725154662,1.21875392987437,0.00666666666666667,0.46,495,-27646823.4710787,0.953333333333333,0.477769242715001
1451,150,1639.62555023985,10.930837001599,5.78027507774656,13.1298066164627,1.20117120166938,0.00666666666666667,0.48,447,-23602421.2513024,0.96,0.470105785781397
1452,149,1622.49020098445,10.8891959797614,5.63138743236094,13.0822311971503,1.20139551363248,0,0.436241610738255,494,-20167763.1694297,0.946308724832215,0.4784158913555
1453,149,1616.65948516002,10.8500636587921,5.65548730951978,13.3487628742387,1.2302935073954,0,0.449664429530201,455,-17251443.5546466,0.979865771812081,0.482108315491252
1454,149,1620.53281521977,10.8760591625488,5.7044991785212,12.9128407740129,1.18727202390344,0,0.48993288590604,446,-14775862.1505141,0.979865771812081,0.469648131617382
1455,149,1626.64090029743,10.9170530221304,5.6856720588139,13.0399270035896,1.19445485674163,0,0.51006711409396,413,-12674950.8709305,0.966442953020134,0.474961675628723
1456,150,1617.04360177258,10.7802906784838,5.69787055415978,13.2338207934008,1.22759405920416,0.00666666666666667,0.486666666666667,429,-10892648.809837,0.966666666666667,0.480640611111479
1457,151,1631.51080319184,10.8047073059062,5.69091291258258,13.2470792678611,1.22604702680098,0.0132450331125828,0.483443708609272,406,-9381240.07243248,0.966887417218543,0.479971312576186
1458,149,1635.89067109376,10.9791320207635,5.7293388562223,13.3007650894174,1.21145870768867,0,0.51006711409396,407,-8100205.79344308,0.966442953020134,0.473441896481327
1459,149,1637.51692575649,10.9900464815872,5.68519196073234,13.3210120216428,1.21209787819923,0,0.463087248322148,423,-7015117.24945285,0.979865771812081,0.481209612581242
1460,149,1652.7648882221,11.0923818001483,5.61510637802982,13.4793378522975,1.21518877506698,0,0.48993288590604,407,-6096669.01232155,0.973154362416107,0.477890519964027
1461,150,1620.22683544226,10.8015122362817,5.63633944452844,13.0596031059843,1.20905321591154,0.00666666666666667,0.44,480,-5320042.82924456,0.966666666666667,0.477418456256348
1462,149,1648.26677620254,11.0621931288761,5.85204017553667,13.1260069179711,1.18656461382036,0,0.543624161073825,377,-4663962.41652546,0.973154362416107,0.464804778031334
1463,149,1627.79865240987,10.924823170536,5.68053964989632,12.868124823432,1.17787946061562,0,0.51006711409396,430,-4110596.15249277,0.979865771812081,0.467739660335782
1464,150,1620.86520810824,10.8057680540549,5.75736965788406,13.0857928726698,1.2110007180618,0.00666666666666667,0.506666666666667,453,-3644611.9273737,0.973333333333333,0.474362367212828
1465,149,1619.65420729771,10.8701624650853,5.53134644985153,13.428012121293,1.23530923888429,0,0.422818791946309,474,-3253026.20579654,0.973154362416107,0.487733877179964
1466,149,1627.26431761367,10.9212370309642,5.6352863783505,13.365493264183,1.22380763518718,0,0.436241610738255,480,-2924817.51046405,0.979865771812081,0.483143979784587
1467,149,1607.7140959813,10.7900274898074,5.70111646087836,13.0655841150648,1.21089442333737,0,0.456375838926175,505,-2650647.45394132,0.979865771812081,0.477395523202195
1468,151,1640.04227857676,10.8612071428925,5.50065573079252,13.6208196797044,1.25407972617646,0.0132450331125828,0.456953642384106,455,-2422489.54321412,0.966887417218543,0.4902391057365
1469,150,1619.8160651528,10.7987737676853,5.63654262855146,13.3518397423972,1.23642184100123,0.00666666666666667,0.433333333333333,487,-2233649.18839584,0.98,0.482584111295052
1470,149,1635.63706445308,10.9774299627724,5.56121520821638,13.1466599965476,1.19760818708311,0,0.496644295302013,444,-2078352.69226241,0.979865771812081,0.474495418984371
1471,150,1616.06009551827,10.7737339701218,5.65986171406694,13.0479014856386,1.21108443199207,0.00666666666666667,0.5,473,-1951752.20258883,0.98,0.470580413890212
1472,150,1593.71982501436,10.6247988334291,5.6037276244911,12.8283793094479,1.20739973627412,0.00666666666666667,0.48,542,-1849702.07371777,0.966666666666667,0.477989029132468
1473,150,1612.70939006892,10.7513959337928,5.52094277466956,13.1321193465971,1.22143388890753,0.00666666666666667,0.44,536,-1768641.98766593,0.986666666666667,0.487405012668583
1474,151,1600.52645489558,10.5995129463283,5.61261145887497,13.0299055620052,1.22929285788729,0.0132450331125828,0.470198675496689,535,-1705630.76231735,0.986754966887417,0.482913213677079
1475,151,1604.944669322,10.6287726445166,5.489207781691,13.1396548440888,1.23623444432858,0.0132450331125828,0.450331125827815,536,-1658142.82938458,0.986754966887417,0.489793893699783
1476,151,1602.65745402696,10.6136255233574,5.49136503749025,12.642427320435,1.19115068574945,0.0132450331125828,0.43046357615894,486,-1624010.15534233,0.993377483443709,0.478586858794791
1477,150,1617.19777503461,10.7813185002308,5.5002482951957,12.8268966469237,1.18973357912106,0.00666666666666667,0.453333333333333,471,-1601422.65056572,0.986666666666667,0.476468001468951
1478,149,1620.73989038158,10.8774489287354,5.51680903919657,13.070081237806,1.2015759690931,0,0.456375838926175,497,-1588852.56916435,0.973154362416107,0.477276834944505
1479,149,1602.607330897,10.7557538986376,5.65556409843169,12.9393779357227,1.20301915213603,0,0.469798657718121,510,-1585007.17970037,0.973154362416107,0.477776816993858
1480,150,1610.67440334257,10.7378293556171,5.63643627161533,12.7599758448233,1.1883198570434,0.00666666666666667,0.5,460,-1588731.56488815,0.973333333333333,0.475540087426044
1481,150,1623.50815113531,10.8233876742354,5.62007543638705,12.8376681298293,1.1861044357109,0.00666666666666667,0.52,443,-1599141.68147155,0.966666666666667,0.469530666938565
1482,150,1607.53527083828,10.7169018055885,5.59908045717502,13.1924354823509,1.2309934085121,0.00666666666666667,0.466666666666667,472,-1615449.84098423,0.986666666666667,0.485354379558431
1483,149,1600.17806341907,10.7394500900608,5.57295399775718,12.6448933542465,1.17742465845147,0,0.463087248322148,489,-1637007.81190247,1,0.470717380094951
1484,150,1604.40736801089,10.6960491200726,5.47154183876061,13.4434871360953,1.25686475306726,0.00666666666666667,0.446666666666667,524,-1663222.87376078,0.973333333333333,0.500259963285841
1485,149,1610.81207477319,10.8108192937798,5.60887370292722,13.109766613503,1.21265246021141,0,0.483221476510067,461,-1693630.42253697,0.986577181208054,0.47439863558956
1486,149,1620.62956062978,10.8767084606026,5.6444814768796,13.0944060833441,1.20389418644201,0,0.483221476510067,455,-1727865.13945101,0.986577181208054,0.477481080928109
1487,149,1611.73319516041,10.8170013098014,5.66885528998286,13.1332796065397,1.21413312529041,0,0.530201342281879,461,-1765611.15691435,0.986577181208054,0.475182292999655
1488,151,1616.87281870188,10.7077670112707,5.6041384296891,12.7817510747577,1.19368968911109,0.0132450331125828,0.503311258278146,443,-1806578.3161274,0.980132450331126,0.472750731163177
1489,149,1611.12140386236,10.8128953279353,5.61279009024236,13.1572812421632,1.21681389148114,0,0.456375838926175,476,-1850586.50837612,0.979865771812081,0.481272310840812
1490,149,1591.04629710424,10.6781630678137,5.62134804774378,12.8289026882497,1.20141475708671,0,0.496644295302013,500,-1897421.49103726,0.979865771812081,0.474914737933252
1491,153,1595.51216511312,10.4281840857067,5.55502073668179,12.6485893816622,1.2129234848279,0.0261437908496732,0.477124183006536,491,-1946712.85816698,0.986928104575163,0.482588855237178
1492,149,1611.02099908188,10.8122214703482,5.567465532595,12.7877723782238,1.18271461727762,0,0.523489932885906,453,-1998595.2960437,0.993288590604027,0.468339849490572
1493,149,1606.10183718666,10.7792069609843,5.64134009256964,12.987800533866,1.20489388327692,0,0.577181208053691,445,-2053026.59088766,0.979865771812081,0.463161307063914
1494,151,1588.11084016373,10.5172903322101,5.57394602075798,12.8378827866797,1.22064546866815,0.0132450331125828,0.496688741721854,495,-2109916.25926478,0.986754966887417,0.47433305066673
1495,150,1600.38013322756,10.6692008881837,5.59242728034719,12.8774621079776,1.20697531548399,0.00666666666666667,0.573333333333333,481,-2169179.86652121,0.986666666666667,0.478392567971308
1496,151,1620.41172068811,10.7312034482656,5.73420671351727,12.8076205402423,1.19349340472268,0.0132450331125828,0.56953642384106,433,-2230826.82152039,0.980132450331126,0.468674814464394
1497,149,1601.00638455982,10.7450092923478,5.59466547049191,12.8289521441519,1.19394518842234,0,0.483221476510067,501,-2294858.15317898,0.973154362416107,0.467803280308893
1498,149,1594.57072611818,10.7018169538133,5.6465151958742,12.8173627642805,1.19768099375998,0,0.503355704697987,484,-2361194.03670379,0.973154362416107,0.47773008462516
1499,150,1603.65406980496,10.6910271320331,5.58702018772048,12.8629063713974,1.20314972663916,0.00666666666666667,0.513333333333333,481,-2429915.09039134,0.98,0.469805802978737
1500,149,1601.4353888766,10.7478885159503,5.57664146097694,13.0776027746124,1.21676018086759,0,0.476510067114094,506,-2501001.58781183,0.986577181208054,0.482102453374361
1501,149,1603.43448279281,10.761305253643,5.59484353069621,12.8891800754737,1.19773389674178,0,0.483221476510067,486,-2574484.66165117,0.986577181208054,0.478083221006968
1502,150,1590.50373719718,10.6033582479812,5.61298405168647,12.4832870566754,1.177295604348,0.00666666666666667,0.48,510,-2650412.09465899,0.986666666666667,0.466812553307046
1503,149,1613.25354554392,10.8272050036504,5.63231394842153,12.8044557294541,1.18261875757751,0,0.516778523489933,482,-2728769.56602544,0.973154362416107,0.465033095405938
1504,149,1619.65783378587,10.870186803932,5.65457838916176,12.8501916506405,1.18215002947256,0,0.503355704697987,465,-2809655.18084481,0.979865771812081,0.467538638672258
1505,149,1610.44540847276,10.8083584461259,5.79042758802495,12.8412021357816,1.18808070622272,0,0.543624161073825,465,-2893113.55830204,0.979865771812081,0.46577900436297
1506,149,1605.42685832207,10.7746769014904,5.58910478673764,13.0570063559382,1.21182347046825,0,0.469798657718121,501,-2463493.0559509,0.973154362416107,0.483587490594259
